# Real-music bench corpus. All entries are explicitly Creative Commons or
# public domain on archive.org. fetch_corpus.sh resolves each URL with
# yt-dlp + ffmpeg and caches a 30-s f32le @ 22050 Hz mono clip.
#
# Add more entries by appending lines below. Format: TAB-separated.
# name<TAB>genre<TAB>url<TAB>start_s<TAB>duration_s
#
# Why TSV, not CSV: track titles routinely contain commas and quotes.
classical	classical	https://archive.org/details/jamendo-162529	10	30
jazz	jazz	https://archive.org/details/JV-22543-1945-QmcpRGYAR7cq9y4A6meUjA1fSSUGn5h9Ny9DpY8U2fVcNx.mp3	10	30
rock	rock	https://archive.org/details/CarelessParallels	30	30
hiphop	hiphop	https://archive.org/details/jamendo-416723	10	30
ambient	ambient	https://archive.org/details/RowanBoxSurveillance_201506	60	30
folk	folk	https://archive.org/details/jamendo-224493	10	30
electronic	electronic	https://archive.org/details/MoralDisintegrationRevise	30	30
metal	metal	https://archive.org/details/forgiveness_timeless	30	30
reggae	reggae	https://archive.org/details/DubatomicParticles2016.02.28	60	30
piano	piano	https://archive.org/details/jamendo-458569	10	30
country	country	https://archive.org/details/jamendo-516422	10	30
funk	funk	https://archive.org/details/SpingineerGuiltyPleasures_Vol.1	60	30
salsa	salsa	https://archive.org/details/044LAESQUINADELASALSA	30	30
drone	drone	https://archive.org/details/disperseDispatchEpisode536	60	30
techno	techno-loop	https://archive.org/details/Tkbnet07	60	30
house	house-loop	https://archive.org/details/jamendo-247047	30	30
minimal	minimal-loop	https://archive.org/details/retro-evolucion-programa-25-tempada-14	60	30
spoken	spoken-word	https://archive.org/details/RedruthAndCornwallHeritageAndHistory13December2011	30	30
punk	punk	https://archive.org/details/FilmedinCanada039Hardcorelogo	30	30
world	world	https://archive.org/details/newsflash-20200729	30	30
